ZIP_Code,Median_income,Population,TeslaCount,NonTeslaCount,Total_EVs,Tesla_Proportion_of_Evs,EV_per_1k_people
56304,54133,17020,27,48,75,0.36,4.41
56307,89563,5399,1,11,12,0.083,2.22
56308,76831,26391,41,108,149,0.275,5.65
56309,83594,1326,1,2,3,0.333,2.26
56310,103993,5225,34,88,122,0.279,23.35
56311,70938,695,1,2,3,0.333,4.32
56312,69519,2293,3,4,7,0.429,3.05
56314,87500,1281,3,0,3,1,2.34
56315,85526,1726,1,7,8,0.125,4.63
56316,71071,1438,0,5,5,0,3.48
56318,77875,1158,1,3,4,0.25,3.45
56319,85500,1300,2,4,6,0.333,4.62
56320,90346,7985,16,33,49,0.327,6.14
56324,79219,1000,1,4,5,0.2,5
56326,81765,1577,0,1,1,0,0.63
56327,79643,784,1,8,9,0.111,11.48
56329,89728,7615,8,17,25,0.32,3.28
56330,80250,1763,3,2,5,0.6,2.84
56331,90893,1949,2,5,7,0.286,3.59
56332,89875,1523,0,6,6,0,3.94
56334,67264,5830,9,42,51,0.176,8.75
56336,80804,1483,2,3,5,0.4,3.37
56338,68906,1764,1,9,10,0.1,5.67
56339,57143,1136,0,2,2,0,1.76
56340,89211,2394,1,4,5,0.2,2.09
56342,61313,2791,1,7,8,0.125,2.87
56343,64318,910,0,2,2,0,2.2
56345,57399,15058,11,40,51,0.216,3.39
56347,65650,7449,4,11,15,0.267,2.01
56349,91250,779,1,3,4,0.25,5.13
56350,40000,486,1,1,2,0.5,4.12
56352,71356,5775,2,18,20,0.1,3.46
56353,77170,9314,8,17,25,0.32,2.68
56354,85521,1455,2,3,5,0.4,3.44
56355,97500,641,0,2,2,0,3.12
56357,107031,1053,1,3,4,0.25,3.8
56358,78125,3090,0,12,12,0,3.88
56359,57852,3585,3,2,5,0.6,1.39
56360,65395,4093,2,6,8,0.25,1.95
56361,69896,2425,4,3,7,0.571,2.89
56362,81536,5825,4,18,22,0.182,3.78
56364,77440,5562,1,4,5,0.2,0.9
56367,102429,7164,11,28,39,0.282,5.44
56368,92963,4372,9,13,22,0.409,5.03
56369,84464,545,0,4,4,0,7.34
56371,44250,125,0,2,2,0,16
56373,91544,3233,2,4,6,0.333,1.86
56374,78415,9943,9,31,40,0.225,4.02
56375,94875,800,2,0,2,1,2.5
56377,82583,21013,80,127,207,0.386,9.85
56378,71953,8174,5,19,24,0.208,2.94
56379,71964,17467,23,65,88,0.261,5.04
56381,78348,2511,0,11,11,0,4.38
56385,69375,918,1,4,5,0.2,5.45
56386,52344,654,0,1,1,0,1.53
56387,57387,7715,4,14,18,0.222,2.33
56401,70269,30632,38,90,128,0.297,4.18
56425,71294,8584,20,38,58,0.345,6.76
56431,64846,8763,4,13,17,0.235,1.94
56433,57792,1800,0,3,3,0,1.67
56435,63542,2595,3,7,10,0.3,3.85
56437,59313,1474,0,1,1,0,0.68
56438,57093,2877,0,4,4,0,1.39
56440,53250,1343,1,2,3,0.333,2.23
56441,50705,3439,6,8,14,0.429,4.07
56442,85179,2720,4,20,24,0.167,8.82
56443,73056,1395,1,4,5,0.2,3.58
56444,74265,3044,5,12,17,0.294,5.58
56447,66875,1008,3,2,5,0.6,4.96
56448,77917,441,1,3,4,0.25,9.07
56449,77813,1897,6,3,9,0.667,4.74
56450,59076,1129,1,4,5,0.2,4.43
56452,60378,1919,2,11,13,0.154,6.77
56455,65962,1692,1,7,8,0.125,4.73
56459,,,0,1,1,0,NULL
56461,77692,3416,1,6,7,0.143,2.05
56464,70505,4864,4,4,8,0.5,1.64
56465,70417,2221,4,10,14,0.286,6.3
56466,59046,3157,2,10,12,0.167,3.8
56467,75170,2609,0,3,3,0,1.15
56468,103698,4525,15,24,39,0.385,8.62
56469,60109,1055,0,2,2,0,1.9
56470,68351,10668,12,39,51,0.235,4.78
56472,81938,8315,14,28,42,0.333,5.05
56473,79236,3763,2,9,11,0.182,2.92
56474,55741,4419,1,11,12,0.083,2.72
56475,60481,1611,1,4,5,0.2,3.1
56477,54028,2771,1,3,4,0.25,1.44
